

--------------------------------------- 2019-07-03-22-37-23-773
[notice ] Rendering ID: 0; Current draw angle: 26; Full rotations count: 0; Time between renderings: 0
[notice ] Rendering ID: 47; Current draw angle: 168; Full rotations count: 3; Time between renderings: 99
[notice ] Rendering ID: 48; Current draw angle: 194; Full rotations count: 3; Time between renderings: 200
[notice ] Rendering ID: 49; Current draw angle: 220; Full rotations count: 3; Time between renderings: 78
[notice ] Rendering ID: 50; Current draw angle: 246; Full rotations count: 3; Time between renderings: 125
[notice ] Rendering ID: 51; Current draw angle: 272; Full rotations count: 3; Time between renderings: 122
[notice ] Rendering ID: 52; Current draw angle: 298; Full rotations count: 3; Time between renderings: 102
[notice ] Rendering ID: 53; Current draw angle: 324; Full rotations count: 3; Time between renderings: 83
[notice ] Rendering ID: 54; Current draw angle: 350; Full rotations count: 3; Time between renderings: 75
[notice ] Rendering ID: 55; Current draw angle: 16; Full rotations count: 4; Time between renderings: 57
[notice ] Rendering ID: 56; Current draw angle: 42; Full rotations count: 4; Time between renderings: 70
[notice ] Rendering ID: 57; Current draw angle: 68; Full rotations count: 4; Time between renderings: 81
[notice ] Rendering ID: 58; Current draw angle: 94; Full rotations count: 4; Time between renderings: 86
[notice ] Rendering ID: 59; Current draw angle: 120; Full rotations count: 4; Time between renderings: 80
[notice ] Rendering ID: 60; Current draw angle: 146; Full rotations count: 4; Time between renderings: 104
[notice ] Rendering ID: 61; Current draw angle: 172; Full rotations count: 4; Time between renderings: 69
[notice ] Rendering ID: 62; Current draw angle: 198; Full rotations count: 4; Time between renderings: 90
[notice ] Rendering ID: 63; Current draw angle: 224; Full rotations count: 4; Time between renderings: 79
[notice ] Rendering ID: 64; Current draw angle: 250; Full rotations count: 4; Time between renderings: 71
[notice ] Rendering ID: 65; Current draw angle: 276; Full rotations count: 4; Time between renderings: 65
[notice ] Rendering ID: 66; Current draw angle: 302; Full rotations count: 4; Time between renderings: 121
[notice ] Rendering ID: 67; Current draw angle: 328; Full rotations count: 4; Time between renderings: 65
[notice ] Rendering ID: 68; Current draw angle: 354; Full rotations count: 4; Time between renderings: 123
[notice ] Rendering ID: 69; Current draw angle: 20; Full rotations count: 5; Time between renderings: 122
[notice ] Rendering ID: 70; Current draw angle: 46; Full rotations count: 5; Time between renderings: 83
[notice ] Rendering ID: 71; Current draw angle: 72; Full rotations count: 5; Time between renderings: 73
[notice ] Rendering ID: 72; Current draw angle: 98; Full rotations count: 5; Time between renderings: 72
[notice ] Rendering ID: 73; Current draw angle: 124; Full rotations count: 5; Time between renderings: 80
[notice ] Rendering ID: 74; Current draw angle: 150; Full rotations count: 5; Time between renderings: 82
[notice ] Rendering ID: 75; Current draw angle: 176; Full rotations count: 5; Time between renderings: 74
[notice ] Rendering ID: 76; Current draw angle: 202; Full rotations count: 5; Time between renderings: 87
[notice ] Rendering ID: 77; Current draw angle: 228; Full rotations count: 5; Time between renderings: 125
[notice ] Rendering ID: 78; Current draw angle: 254; Full rotations count: 5; Time between renderings: 74
[notice ] Rendering ID: 79; Current draw angle: 280; Full rotations count: 5; Time between renderings: 93
[notice ] Rendering ID: 80; Current draw angle: 306; Full rotations count: 5; Time between renderings: 96
[notice ] Rendering ID: 81; Current draw angle: 332; Full rotations count: 5; Time between renderings: 79
[notice ] Rendering ID: 82; Current draw angle: 358; Full rotations count: 5; Time between renderings: 126
[notice ] Rendering ID: 83; Current draw angle: 24; Full rotations count: 6; Time between renderings: 111
[notice ] Rendering ID: 84; Current draw angle: 50; Full rotations count: 6; Time between renderings: 77
[notice ] Rendering ID: 85; Current draw angle: 76; Full rotations count: 6; Time between renderings: 382
[notice ] Rendering ID: 86; Current draw angle: 102; Full rotations count: 6; Time between renderings: 106
[notice ] Rendering ID: 87; Current draw angle: 128; Full rotations count: 6; Time between renderings: 86
[notice ] Rendering ID: 88; Current draw angle: 154; Full rotations count: 6; Time between renderings: 110
[notice ] Rendering ID: 89; Current draw angle: 180; Full rotations count: 6; Time between renderings: 90
[notice ] Rendering ID: 90; Current draw angle: 206; Full rotations count: 6; Time between renderings: 77
[notice ] Rendering ID: 91; Current draw angle: 232; Full rotations count: 6; Time between renderings: 62
[notice ] Rendering ID: 92; Current draw angle: 258; Full rotations count: 6; Time between renderings: 98
[notice ] Rendering ID: 93; Current draw angle: 284; Full rotations count: 6; Time between renderings: 72
[notice ] Rendering ID: 94; Current draw angle: 310; Full rotations count: 6; Time between renderings: 74
[notice ] Rendering ID: 95; Current draw angle: 336; Full rotations count: 6; Time between renderings: 89
[notice ] Rendering ID: 96; Current draw angle: 2; Full rotations count: 7; Time between renderings: 156
[notice ] Rendering ID: 97; Current draw angle: 28; Full rotations count: 7; Time between renderings: 80
[notice ] Rendering ID: 98; Current draw angle: 54; Full rotations count: 7; Time between renderings: 98
[notice ] Rendering ID: 99; Current draw angle: 80; Full rotations count: 7; Time between renderings: 64
[notice ] Rendering ID: 100; Current draw angle: 106; Full rotations count: 7; Time between renderings: 70
[notice ] Rendering ID: 101; Current draw angle: 132; Full rotations count: 7; Time between renderings: 80
[notice ] Rendering ID: 102; Current draw angle: 158; Full rotations count: 7; Time between renderings: 92
[notice ] Rendering ID: 103; Current draw angle: 184; Full rotations count: 7; Time between renderings: 68
[notice ] Rendering ID: 104; Current draw angle: 210; Full rotations count: 7; Time between renderings: 80
[notice ] Rendering ID: 105; Current draw angle: 236; Full rotations count: 7; Time between renderings: 107
[notice ] Rendering ID: 106; Current draw angle: 262; Full rotations count: 7; Time between renderings: 68
[notice ] Rendering ID: 107; Current draw angle: 288; Full rotations count: 7; Time between renderings: 101
[notice ] Rendering ID: 108; Current draw angle: 314; Full rotations count: 7; Time between renderings: 86
[notice ] Rendering ID: 109; Current draw angle: 340; Full rotations count: 7; Time between renderings: 77
[notice ] Rendering ID: 110; Current draw angle: 6; Full rotations count: 8; Time between renderings: 73
[notice ] Rendering ID: 111; Current draw angle: 32; Full rotations count: 8; Time between renderings: 96
[notice ] Rendering ID: 112; Current draw angle: 58; Full rotations count: 8; Time between renderings: 77
[notice ] Rendering ID: 113; Current draw angle: 84; Full rotations count: 8; Time between renderings: 71
[notice ] Rendering ID: 114; Current draw angle: 110; Full rotations count: 8; Time between renderings: 140
[notice ] Rendering ID: 115; Current draw angle: 136; Full rotations count: 8; Time between renderings: 107
[notice ] Rendering ID: 116; Current draw angle: 162; Full rotations count: 8; Time between renderings: 115
[notice ] Rendering ID: 117; Current draw angle: 188; Full rotations count: 8; Time between renderings: 134
[notice ] Rendering ID: 118; Current draw angle: 214; Full rotations count: 8; Time between renderings: 67
[notice ] Rendering ID: 119; Current draw angle: 240; Full rotations count: 8; Time between renderings: 71
[notice ] Rendering ID: 120; Current draw angle: 266; Full rotations count: 8; Time between renderings: 77
[notice ] Rendering ID: 121; Current draw angle: 292; Full rotations count: 8; Time between renderings: 74
[notice ] Rendering ID: 122; Current draw angle: 318; Full rotations count: 8; Time between renderings: 98
[notice ] Rendering ID: 123; Current draw angle: 344; Full rotations count: 8; Time between renderings: 123
[notice ] Rendering ID: 124; Current draw angle: 10; Full rotations count: 9; Time between renderings: 82
[notice ] Rendering ID: 125; Current draw angle: 36; Full rotations count: 9; Time between renderings: 88
[notice ] Rendering ID: 126; Current draw angle: 62; Full rotations count: 9; Time between renderings: 78
[notice ] Rendering ID: 127; Current draw angle: 88; Full rotations count: 9; Time between renderings: 106
[notice ] Rendering ID: 128; Current draw angle: 114; Full rotations count: 9; Time between renderings: 91
[notice ] Rendering ID: 129; Current draw angle: 140; Full rotations count: 9; Time between renderings: 120
[notice ] Rendering ID: 130; Current draw angle: 166; Full rotations count: 9; Time between renderings: 76
[notice ] Rendering ID: 131; Current draw angle: 192; Full rotations count: 9; Time between renderings: 87
[notice ] Rendering ID: 132; Current draw angle: 218; Full rotations count: 9; Time between renderings: 168
[notice ] Rendering ID: 133; Current draw angle: 244; Full rotations count: 9; Time between renderings: 73
[notice ] Rendering ID: 134; Current draw angle: 270; Full rotations count: 9; Time between renderings: 153
[notice ] Rendering ID: 135; Current draw angle: 296; Full rotations count: 9; Time between renderings: 85
[notice ] Rendering ID: 136; Current draw angle: 322; Full rotations count: 9; Time between renderings: 118
[notice ] Rendering ID: 137; Current draw angle: 348; Full rotations count: 9; Time between renderings: 96
[notice ] Rendering ID: 138; Current draw angle: 14; Full rotations count: 10; Time between renderings: 122
[notice ] Rendering ID: 139; Current draw angle: 40; Full rotations count: 10; Time between renderings: 72
[notice ] Rendering ID: 140; Current draw angle: 66; Full rotations count: 10; Time between renderings: 94
[notice ] Rendering ID: 141; Current draw angle: 92; Full rotations count: 10; Time between renderings: 100
[notice ] Rendering ID: 142; Current draw angle: 118; Full rotations count: 10; Time between renderings: 75
[notice ] Rendering ID: 143; Current draw angle: 144; Full rotations count: 10; Time between renderings: 116
[notice ] Rendering ID: 144; Current draw angle: 170; Full rotations count: 10; Time between renderings: 104
[notice ] Rendering ID: 145; Current draw angle: 196; Full rotations count: 10; Time between renderings: 89
[notice ] Rendering ID: 146; Current draw angle: 222; Full rotations count: 10; Time between renderings: 82
[notice ] Rendering ID: 147; Current draw angle: 248; Full rotations count: 10; Time between renderings: 70
[notice ] Rendering ID: 148; Current draw angle: 274; Full rotations count: 10; Time between renderings: 70
[notice ] Rendering ID: 149; Current draw angle: 300; Full rotations count: 10; Time between renderings: 111
[notice ] Rendering ID: 150; Current draw angle: 326; Full rotations count: 10; Time between renderings: 64
[notice ] Rendering ID: 151; Current draw angle: 352; Full rotations count: 10; Time between renderings: 82
[notice ] Rendering ID: 152; Current draw angle: 18; Full rotations count: 11; Time between renderings: 124
[notice ] Rendering ID: 153; Current draw angle: 44; Full rotations count: 11; Time between renderings: 81
[notice ] Rendering ID: 154; Current draw angle: 70; Full rotations count: 11; Time between renderings: 79
[notice ] Rendering ID: 155; Current draw angle: 96; Full rotations count: 11; Time between renderings: 88
[notice ] Rendering ID: 156; Current draw angle: 122; Full rotations count: 11; Time between renderings: 117
[notice ] Rendering ID: 157; Current draw angle: 148; Full rotations count: 11; Time between renderings: 75
[notice ] Rendering ID: 158; Current draw angle: 174; Full rotations count: 11; Time between renderings: 78
[notice ] Rendering ID: 159; Current draw angle: 200; Full rotations count: 11; Time between renderings: 296
[notice ] Rendering ID: 160; Current draw angle: 226; Full rotations count: 11; Time between renderings: 103
[notice ] Rendering ID: 161; Current draw angle: 252; Full rotations count: 11; Time between renderings: 95
[notice ] Rendering ID: 162; Current draw angle: 278; Full rotations count: 11; Time between renderings: 102
[notice ] Rendering ID: 163; Current draw angle: 304; Full rotations count: 11; Time between renderings: 64
[notice ] Rendering ID: 164; Current draw angle: 330; Full rotations count: 11; Time between renderings: 66
[notice ] Rendering ID: 165; Current draw angle: 356; Full rotations count: 11; Time between renderings: 79
[notice ] Rendering ID: 166; Current draw angle: 22; Full rotations count: 12; Time between renderings: 136
[notice ] Rendering ID: 167; Current draw angle: 48; Full rotations count: 12; Time between renderings: 87
[notice ] Rendering ID: 168; Current draw angle: 74; Full rotations count: 12; Time between renderings: 83
[notice ] Rendering ID: 169; Current draw angle: 100; Full rotations count: 12; Time between renderings: 75
[notice ] Rendering ID: 170; Current draw angle: 126; Full rotations count: 12; Time between renderings: 92
[notice ] Rendering ID: 171; Current draw angle: 152; Full rotations count: 12; Time between renderings: 90
[notice ] Rendering ID: 172; Current draw angle: 178; Full rotations count: 12; Time between renderings: 73
[notice ] Rendering ID: 173; Current draw angle: 204; Full rotations count: 12; Time between renderings: 576
[notice ] Rendering ID: 174; Current draw angle: 230; Full rotations count: 12; Time between renderings: 80
[notice ] Rendering ID: 175; Current draw angle: 256; Full rotations count: 12; Time between renderings: 118
[notice ] Rendering ID: 176; Current draw angle: 282; Full rotations count: 12; Time between renderings: 96
[notice ] Rendering ID: 177; Current draw angle: 308; Full rotations count: 12; Time between renderings: 100
[notice ] Rendering ID: 178; Current draw angle: 334; Full rotations count: 12; Time between renderings: 92
[notice ] Rendering ID: 179; Current draw angle: 0; Full rotations count: 13; Time between renderings: 71
[notice ] Rendering ID: 180; Current draw angle: 26; Full rotations count: 13; Time between renderings: 75
[notice ] Rendering ID: 181; Current draw angle: 52; Full rotations count: 13; Time between renderings: 99
[notice ] Rendering ID: 182; Current draw angle: 78; Full rotations count: 13; Time between renderings: 86
[notice ] Rendering ID: 183; Current draw angle: 104; Full rotations count: 13; Time between renderings: 83
[notice ] Rendering ID: 184; Current draw angle: 130; Full rotations count: 13; Time between renderings: 73
[notice ] Rendering ID: 185; Current draw angle: 156; Full rotations count: 13; Time between renderings: 120
[notice ] Rendering ID: 186; Current draw angle: 182; Full rotations count: 13; Time between renderings: 851
[notice ] Rendering ID: 187; Current draw angle: 208; Full rotations count: 13; Time between renderings: 77
[notice ] Rendering ID: 188; Current draw angle: 234; Full rotations count: 13; Time between renderings: 76
[notice ] Rendering ID: 189; Current draw angle: 260; Full rotations count: 13; Time between renderings: 113
[notice ] Rendering ID: 190; Current draw angle: 286; Full rotations count: 13; Time between renderings: 107
[notice ] Rendering ID: 191; Current draw angle: 312; Full rotations count: 13; Time between renderings: 77
[notice ] Rendering ID: 192; Current draw angle: 338; Full rotations count: 13; Time between renderings: 173
[notice ] Rendering ID: 193; Current draw angle: 4; Full rotations count: 14; Time between renderings: 75
[notice ] Rendering ID: 194; Current draw angle: 30; Full rotations count: 14; Time between renderings: 128
[notice ] Rendering ID: 195; Current draw angle: 56; Full rotations count: 14; Time between renderings: 86
[notice ] Rendering ID: 196; Current draw angle: 82; Full rotations count: 14; Time between renderings: 143
[notice ] Rendering ID: 197; Current draw angle: 108; Full rotations count: 14; Time between renderings: 108
[notice ] Rendering ID: 198; Current draw angle: 134; Full rotations count: 14; Time between renderings: 84
[notice ] Rendering ID: 199; Current draw angle: 160; Full rotations count: 14; Time between renderings: 85
[notice ] Rendering ID: 200; Current draw angle: 186; Full rotations count: 14; Time between renderings: 109
[notice ] Rendering ID: 201; Current draw angle: 212; Full rotations count: 14; Time between renderings: 69
[notice ] Rendering ID: 202; Current draw angle: 238; Full rotations count: 14; Time between renderings: 74
[notice ] Rendering ID: 203; Current draw angle: 264; Full rotations count: 14; Time between renderings: 140
[notice ] Rendering ID: 204; Current draw angle: 290; Full rotations count: 14; Time between renderings: 88
[notice ] Rendering ID: 205; Current draw angle: 316; Full rotations count: 14; Time between renderings: 68
[notice ] Rendering ID: 206; Current draw angle: 342; Full rotations count: 14; Time between renderings: 115
[notice ] Rendering ID: 207; Current draw angle: 8; Full rotations count: 15; Time between renderings: 74
[notice ] Rendering ID: 208; Current draw angle: 34; Full rotations count: 15; Time between renderings: 94
[notice ] Rendering ID: 209; Current draw angle: 60; Full rotations count: 15; Time between renderings: 137
[notice ] Rendering ID: 210; Current draw angle: 86; Full rotations count: 15; Time between renderings: 78
[notice ] Rendering ID: 211; Current draw angle: 112; Full rotations count: 15; Time between renderings: 86
[notice ] Rendering ID: 212; Current draw angle: 138; Full rotations count: 15; Time between renderings: 100
[notice ] Rendering ID: 213; Current draw angle: 164; Full rotations count: 15; Time between renderings: 74
[notice ] Rendering ID: 214; Current draw angle: 190; Full rotations count: 15; Time between renderings: 81
[notice ] Rendering ID: 215; Current draw angle: 216; Full rotations count: 15; Time between renderings: 81
[notice ] Rendering ID: 216; Current draw angle: 242; Full rotations count: 15; Time between renderings: 153
[notice ] Rendering ID: 217; Current draw angle: 268; Full rotations count: 15; Time between renderings: 79
[notice ] Rendering ID: 218; Current draw angle: 294; Full rotations count: 15; Time between renderings: 78
[notice ] Rendering ID: 219; Current draw angle: 320; Full rotations count: 15; Time between renderings: 175
[notice ] Rendering ID: 220; Current draw angle: 346; Full rotations count: 15; Time between renderings: 592
[notice ] Rendering ID: 221; Current draw angle: 12; Full rotations count: 16; Time between renderings: 81
[notice ] Rendering ID: 222; Current draw angle: 38; Full rotations count: 16; Time between renderings: 75
[notice ] Rendering ID: 223; Current draw angle: 64; Full rotations count: 16; Time between renderings: 103
[notice ] Rendering ID: 224; Current draw angle: 90; Full rotations count: 16; Time between renderings: 149
[notice ] Rendering ID: 225; Current draw angle: 116; Full rotations count: 16; Time between renderings: 118
[notice ] Rendering ID: 226; Current draw angle: 142; Full rotations count: 16; Time between renderings: 136
[notice ] Rendering ID: 227; Current draw angle: 168; Full rotations count: 16; Time between renderings: 85
[notice ] Rendering ID: 228; Current draw angle: 194; Full rotations count: 16; Time between renderings: 79
[notice ] Rendering ID: 229; Current draw angle: 220; Full rotations count: 16; Time between renderings: 168
[notice ] Rendering ID: 230; Current draw angle: 246; Full rotations count: 16; Time between renderings: 281
[notice ] Rendering ID: 231; Current draw angle: 272; Full rotations count: 16; Time between renderings: 83
[notice ] Rendering ID: 232; Current draw angle: 298; Full rotations count: 16; Time between renderings: 592
[notice ] Rendering ID: 233; Current draw angle: 324; Full rotations count: 16; Time between renderings: 208
[notice ] Rendering ID: 234; Current draw angle: 350; Full rotations count: 16; Time between renderings: 78
[notice ] Rendering ID: 235; Current draw angle: 16; Full rotations count: 17; Time between renderings: 71
[notice ] Rendering ID: 236; Current draw angle: 42; Full rotations count: 17; Time between renderings: 111
[notice ] Rendering ID: 237; Current draw angle: 68; Full rotations count: 17; Time between renderings: 94
[notice ] Rendering ID: 238; Current draw angle: 94; Full rotations count: 17; Time between renderings: 80
[notice ] Rendering ID: 239; Current draw angle: 120; Full rotations count: 17; Time between renderings: 377
[notice ] Rendering ID: 240; Current draw angle: 146; Full rotations count: 17; Time between renderings: 79
[notice ] Rendering ID: 241; Current draw angle: 172; Full rotations count: 17; Time between renderings: 85
[notice ] Rendering ID: 242; Current draw angle: 198; Full rotations count: 17; Time between renderings: 117
[notice ] Rendering ID: 243; Current draw angle: 224; Full rotations count: 17; Time between renderings: 72
[notice ] Rendering ID: 244; Current draw angle: 250; Full rotations count: 17; Time between renderings: 125
[notice ] Rendering ID: 245; Current draw angle: 276; Full rotations count: 17; Time between renderings: 80
[notice ] Rendering ID: 246; Current draw angle: 302; Full rotations count: 17; Time between renderings: 95
